"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2329","test_login_with_wrong_password[firefox]","tests.ui","Sat Feb 22 19:43:30 GMT 2025","passed","Sat Feb 22 19:43:33 GMT 2025","","test_login","",""
"","2701","test_reset_app_state[firefox]","tests.ui","Sat Feb 22 19:43:14 GMT 2025","passed","Sat Feb 22 19:43:17 GMT 2025","","test_e2e","",""
"","1096","test_logout[firefox]","tests.ui","Sat Feb 22 19:42:58 GMT 2025","passed","Sat Feb 22 19:42:59 GMT 2025","","test_e2e","",""
"","207","test_create_user","tests.api","Sat Feb 22 19:42:41 GMT 2025","passed","Sat Feb 22 19:42:41 GMT 2025","","test_api","",""
"","206","test_register_unsuccessful","tests.api","Sat Feb 22 19:42:41 GMT 2025","passed","Sat Feb 22 19:42:41 GMT 2025","","test_api","",""
"","209","test_update_user","tests.api","Sat Feb 22 19:42:41 GMT 2025","passed","Sat Feb 22 19:42:42 GMT 2025","","test_api","",""
"","3100","test_refresh_page[firefox]","tests.ui","Sat Feb 22 19:43:25 GMT 2025","passed","Sat Feb 22 19:43:28 GMT 2025","","test_login","",""
"","209","test_login_successful","tests.api","Sat Feb 22 19:42:40 GMT 2025","passed","Sat Feb 22 19:42:41 GMT 2025","","test_api","",""
"","1834","test_password_missing[firefox]","tests.ui","Sat Feb 22 19:43:20 GMT 2025","passed","Sat Feb 22 19:43:21 GMT 2025","","test_login","",""
"","57","test_get_user","tests.api","Sat Feb 22 19:42:37 GMT 2025","passed","Sat Feb 22 19:42:37 GMT 2025","","test_api","",""
"","4809","test_order_and_payment[firefox]","tests.ui","Sat Feb 22 19:42:46 GMT 2025","passed","Sat Feb 22 19:42:51 GMT 2025","","test_e2e","",""
"","1805","test_username_missing[firefox]","tests.ui","Sat Feb 22 19:43:22 GMT 2025","passed","Sat Feb 22 19:43:23 GMT 2025","","test_login","",""
"","56","test_check_all_params","tests.api","Sat Feb 22 19:42:40 GMT 2025","passed","Sat Feb 22 19:42:40 GMT 2025","","test_api","",""
"","57","test_get_users[5-tigerlily]","tests.api","Sat Feb 22 19:42:40 GMT 2025","passed","Sat Feb 22 19:42:40 GMT 2025","","test_api","",""
"","2201","test_add_to_cart_and_remove[firefox]","tests.ui","Sat Feb 22 19:42:53 GMT 2025","passed","Sat Feb 22 19:42:56 GMT 2025","","test_e2e","",""
"","230","test_Single_user_not_found","tests.api","Sat Feb 22 19:42:37 GMT 2025","passed","Sat Feb 22 19:42:37 GMT 2025","","test_api","",""
"","67","test_get_users[1-cerulean]","tests.api","Sat Feb 22 19:42:40 GMT 2025","passed","Sat Feb 22 19:42:40 GMT 2025","","test_api","",""
"","3481","test_login_after_failed_attempt[firefox]","tests.ui","Sat Feb 22 19:43:36 GMT 2025","passed","Sat Feb 22 19:43:39 GMT 2025","","test_login","",""
"","543","test_sort_by_price[firefox]","tests.ui","Sat Feb 22 19:43:02 GMT 2025","passed","Sat Feb 22 19:43:02 GMT 2025","","test_e2e","",""
"","2333","test_successful_login[firefox]","tests.ui","Sat Feb 22 19:43:17 GMT 2025","passed","Sat Feb 22 19:43:19 GMT 2025","","test_login","",""
"","2309","test_login_with_locked_user[firefox]","tests.ui","Sat Feb 22 19:43:28 GMT 2025","passed","Sat Feb 22 19:43:30 GMT 2025","","test_login","",""
"","68","test_get_users[3-true red]","tests.api","Sat Feb 22 19:42:40 GMT 2025","passed","Sat Feb 22 19:42:40 GMT 2025","","test_api","",""
"","2321","test_case_sensitivity[firefox]","tests.ui","Sat Feb 22 19:43:33 GMT 2025","passed","Sat Feb 22 19:43:35 GMT 2025","","test_login","",""
"","6620","test_link_product[firefox]","tests.ui","Sat Feb 22 19:43:05 GMT 2025","passed","Sat Feb 22 19:43:12 GMT 2025","","test_e2e","",""
"","826","test_access_check[firefox]","tests.ui","Sat Feb 22 19:43:24 GMT 2025","passed","Sat Feb 22 19:43:24 GMT 2025","","test_login","",""
"","210","test_delete_user","tests.api","Sat Feb 22 19:42:41 GMT 2025","passed","Sat Feb 22 19:42:41 GMT 2025","","test_api","",""
"","3202","test_count_users","tests.api","Sat Feb 22 19:42:37 GMT 2025","passed","Sat Feb 22 19:42:40 GMT 2025","","test_api","",""
